strategy,public_label,trajectory_hash,ranking_eligible,period,total_kwh,peak_15min_kw,billed_demand_kw,energy_charge_usd,demand_charge_usd,total_usd,tariff_mode
COLD_TRIGGER_20F_4H,COLD_TRIGGER_20F_4H,1635c139ad146718ea6bb1e1de1426fdfd14f970ffc3f19913395bdbf2bd9a15,True,two_month,206960.2595,248.1617,462.0867,20531.1,5545.04,26076.15,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_20F_8H,COLD_TRIGGER_20F_8H,f3ae7f9e8f8568539cdd9c491ed3ad2d369a92671f3e435de414a98bfc275c42,True,2025-12,99329.6411,214.5141,214.5141,9847.67,2574.17,12421.84,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_20F_8H,COLD_TRIGGER_20F_8H,f3ae7f9e8f8568539cdd9c491ed3ad2d369a92671f3e435de414a98bfc275c42,True,2026-01,107226.7282,248.1617,248.1617,10635.91,2977.94,13613.85,ILLUSTRATIVE_TOU_PLUS_DEMAND
COLD_TRIGGER_20F_8H,COLD_TRIGGER_20F_8H,f3ae7f9e8f8568539cdd9c491ed3ad2d369a92671f3e435de414a98bfc275c42,True,two_month,206556.3692,248.1617,462.6758,20483.58,5552.11,26035.69,ILLUSTRATIVE_TOU_PLUS_DEMAND
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2fd021c7cd1ca724eab77bd1c41758dc74ce2260c9d6ff3c04b3e69c10ca7c0a,True,2025-12,75171.7662,283.4759,283.4759,6708.21,3401.71,10109.92,ILLUSTRATIVE_TOU_PLUS_DEMAND
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2fd021c7cd1ca724eab77bd1c41758dc74ce2260c9d6ff3c04b3e69c10ca7c0a,True,2026-01,79942.9253,287.882,287.882,7252.98,3454.58,10707.57,ILLUSTRATIVE_TOU_PLUS_DEMAND
a04_native_sch_htgsp,A04_NATIVE_CALIBRATION_REFERENCE,2fd021c7cd1ca724eab77bd1c41758dc74ce2260c9d6ff3c04b3e69c10ca7c0a,True,two_month,155114.6915,287.882,571.358,13961.19,6856.3,20817.48,ILLUSTRATIVE_TOU_PLUS_DEMAND
observed_bas_incumbent_v2,OBSERVED_BAS_INCUMBENT_V2_HISTORICAL,1543ecfbb379b32db73e4c6f96fcde1d67a0ec38d30a9a7d8922da29173f7494,True,2025-12,94128.531,227.9709,227.9709,9289.98,2735.65,12025.64,ILLUSTRATIVE_TOU_PLUS_DEMAND
observed_bas_incumbent_v2,OBSERVED_BAS_INCUMBENT_V2_HISTORICAL,1543ecfbb379b32db73e4c6f96fcde1d67a0ec38d30a9a7d8922da29173f7494,True,2026-01,101501.9886,257.2284,257.2284,10023.95,3086.74,13110.69,ILLUSTRATIVE_TOU_PLUS_DEMAND
observed_bas_incumbent_v2,OBSERVED_BAS_INCUMBENT_V2_HISTORICAL,1543ecfbb379b32db73e4c6f96fcde1d67a0ec38d30a9a7d8922da29173f7494,True,two_month,195630.5196,257.2284,485.1994,19313.93,5822.39,25136.32,ILLUSTRATIVE_TOU_PLUS_DEMAND
continuous_68_heat_sensitivity,CONTINUOUS_DUALSP_68_74_SENSITIVITY_UNVERIFIED,c9f71bc7337a7e0da7605ff9ccf039af6c1a699da76a4777f9c39bff3ae53db9,True,2025-12,101021.806,213.925,213.925,10035.76,2567.1,12602.86,ILLUSTRATIVE_TOU_PLUS_DEMAND
continuous_68_heat_sensitivity,CONTINUOUS_DUALSP_68_74_SENSITIVITY_UNVERIFIED,c9f71bc7337a7e0da7605ff9ccf039af6c1a699da76a4777f9c39bff3ae53db9,True,2026-01,107911.7317,248.1617,248.1617,10732.41,2977.94,13710.35,ILLUSTRATIVE_TOU_PLUS_DEMAND
continuous_68_heat_sensitivity,CONTINUOUS_DUALSP_68_74_SENSITIVITY_UNVERIFIED,c9f71bc7337a7e0da7605ff9ccf039af6c1a699da76a4777f9c39bff3ae53db9,True,two_month,208933.5377,248.1617,462.0867,20768.18,5545.04,26313.22,ILLUSTRATIVE_TOU_PLUS_DEMAND
