tariff_mode,candidate_id,action_index,total_cost,energy_cost,incremental_demand_cost,peak_kw_max,daily_kwh_sum,eligible,ready_checked_school_days,checked_school_days,unoccupied_heating_f,recovery_lead_minutes,post_occupancy_extension_minutes,setback_offset_f,continuous_conditioning
FLAT_PLUS_DEMAND,discrete_70,70,7887.538887,5337.722529,2549.816358,212.484697,48524.750264,True,5,5,64.0,60,0,1.0,False
FLAT_PLUS_DEMAND,discrete_71,71,7890.104097,5345.541019,2544.563078,212.046923,48595.827449,True,5,5,64.0,60,60,1.0,False
FLAT_PLUS_DEMAND,discrete_72,72,7892.544367,5353.690117,2538.85425,211.571188,48669.910154,True,5,5,64.0,60,120,1.0,False
FLAT_PLUS_DEMAND,discrete_73,73,7894.751404,5361.990721,2532.760682,211.06339,48745.370194,True,5,5,64.0,60,180,1.0,False
FLAT_PLUS_DEMAND,discrete_74,74,7689.354013,5112.529758,2576.824255,214.735355,46477.543255,True,5,5,64.0,120,0,-1.0,False
FLAT_PLUS_DEMAND,discrete_75,75,7692.337782,5123.041465,2569.296317,214.108026,46573.104228,True,5,5,64.0,120,60,-1.0,False
FLAT_PLUS_DEMAND,discrete_76,76,7695.443299,5134.245433,2561.197866,213.433155,46674.958482,True,5,5,64.0,120,120,-1.0,False
FLAT_PLUS_DEMAND,discrete_77,77,7698.580988,5146.016751,2552.564237,212.713686,46781.970463,True,5,5,64.0,120,180,-1.0,False
FLAT_PLUS_DEMAND,discrete_78,78,7754.725756,5226.653019,2528.072737,210.672728,47515.02745,True,5,5,64.0,120,0,0.0,False
FLAT_PLUS_DEMAND,discrete_79,79,7757.563247,5235.804473,2521.758774,210.146564,47598.22248,True,5,5,64.0,120,60,0.0,False
FLAT_PLUS_DEMAND,discrete_80,80,7760.320225,5245.408508,2514.911717,209.575976,47685.531887,True,5,5,64.0,120,120,0.0,False
FLAT_PLUS_DEMAND,discrete_81,81,7762.979359,5255.329847,2507.649512,208.970793,47775.725877,True,5,5,64.0,120,180,0.0,False
FLAT_PLUS_DEMAND,discrete_82,82,7828.329566,5342.252145,2486.077421,207.173118,48565.92859,True,5,5,64.0,120,0,1.0,False
FLAT_PLUS_DEMAND,discrete_83,83,7830.739372,5349.619495,2481.119877,206.75999,48632.9045,True,5,5,64.0,120,60,1.0,False
FLAT_PLUS_DEMAND,discrete_84,84,7833.445738,5357.706594,2475.739144,206.311595,48706.423582,True,5,5,64.0,120,120,1.0,False
FLAT_PLUS_DEMAND,discrete_85,85,7836.046653,5366.047667,2469.998986,205.833249,48782.251518,True,5,5,64.0,120,180,1.0,False
FLAT_PLUS_DEMAND,discrete_86,86,7665.842154,5118.300722,2547.541432,212.295119,46530.006562,True,5,5,64.0,180,0,-1.0,False
FLAT_PLUS_DEMAND,discrete_87,87,7669.115689,5128.752546,2540.363143,211.696929,46625.023146,True,5,5,64.0,180,60,-1.0,False
FLAT_PLUS_DEMAND,discrete_88,88,7672.618594,5139.962853,2532.65574,211.054645,46726.935031,True,5,5,64.0,180,120,-1.0,False
FLAT_PLUS_DEMAND,discrete_89,89,7676.188349,5151.75044,2524.437909,210.369826,46834.094907,True,5,5,64.0,180,180,-1.0,False
FLAT_PLUS_DEMAND,discrete_90,90,7760.322487,5232.121075,2528.201412,210.683451,47564.737044,True,5,5,64.0,180,0,0.0,False
FLAT_PLUS_DEMAND,discrete_91,91,7763.410991,5241.249372,2522.161619,210.180135,47647.721567,True,5,5,64.0,180,60,0.0,False
FLAT_PLUS_DEMAND,discrete_92,92,7766.457829,5250.838732,2515.619097,209.634925,47734.897563,True,5,5,64.0,180,120,0.0,False
FLAT_PLUS_DEMAND,discrete_93,93,7769.42156,5260.743792,2508.677768,209.056481,47824.943564,True,5,5,64.0,180,180,0.0,False
FLAT_PLUS_DEMAND,discrete_94,94,7855.407447,5346.818626,2508.588821,209.049068,48607.442057,True,5,5,64.0,180,0,1.0,False
FLAT_PLUS_DEMAND,discrete_95,95,7857.817304,5354.175239,2503.642065,208.636839,48674.320355,True,5,5,64.0,180,60,1.0,False
FLAT_PLUS_DEMAND,discrete_96,96,7860.521219,5362.2482,2498.273019,208.189418,48747.710913,True,5,5,64.0,180,120,1.0,False
FLAT_PLUS_DEMAND,discrete_97,97,7863.127495,5370.580845,2492.54665,207.712221,48823.462224,True,5,5,64.0,180,180,1.0,False
FLAT_PLUS_DEMAND,discrete_102,102,8048.463578,5450.334837,2598.12874,216.510728,49548.498521,False,0,5,66.0,0,0,0.0,False
FLAT_PLUS_DEMAND,discrete_103,103,8050.135359,5456.078692,2594.056667,216.171389,49600.715379,False,0,5,66.0,0,60,0.0,False
FLAT_PLUS_DEMAND,discrete_104,104,8052.558109,5462.928569,2589.62954,215.802462,49662.986989,False,0,5,66.0,0,120,0.0,False
FLAT_PLUS_DEMAND,discrete_105,105,8054.916751,5470.03538,2584.881371,215.406781,49727.594366,False,0,5,66.0,0,180,0.0,False
FLAT_PLUS_DEMAND,discrete_106,106,8084.884747,5569.89857,2514.986177,209.582181,50635.441546,False,0,5,66.0,0,0,1.0,False
FLAT_PLUS_DEMAND,discrete_107,107,8087.257758,5575.257271,2512.000487,209.333374,50684.157013,False,0,5,66.0,0,60,1.0,False
FLAT_PLUS_DEMAND,discrete_108,108,8089.361483,5580.61674,2508.744742,209.062062,50732.879456,False,0,5,66.0,0,120,1.0,False
FLAT_PLUS_DEMAND,discrete_109,109,8090.900164,5585.647477,2505.252687,208.771057,50778.613429,False,0,5,66.0,0,180,1.0,False
FLAT_PLUS_DEMAND,discrete_114,114,7943.018552,5455.998719,2487.019833,207.251653,49599.988356,True,5,5,66.0,60,0,0.0,False
FLAT_PLUS_DEMAND,discrete_115,115,7944.701992,5461.78963,2482.912362,206.909364,49652.632996,True,5,5,66.0,60,60,0.0,False
FLAT_PLUS_DEMAND,discrete_116,116,7947.076526,5468.628028,2478.448498,206.537375,49714.800254,True,5,5,66.0,60,120,0.0,False
FLAT_PLUS_DEMAND,discrete_117,117,7949.39146,5475.728535,2473.662925,206.138577,49779.350318,True,5,5,66.0,60,180,0.0,False
FLAT_PLUS_DEMAND,discrete_118,118,7997.8916,5574.360249,2423.531351,201.960946,50676.002268,True,5,5,66.0,60,0,1.0,False
FLAT_PLUS_DEMAND,discrete_119,119,8000.236318,5579.712195,2420.524123,201.710344,50724.656319,True,5,5,66.0,60,60,1.0,False
FLAT_PLUS_DEMAND,discrete_120,120,8002.308589,5585.064725,2417.243864,201.436989,50773.315683,True,5,5,66.0,60,120,1.0,False
FLAT_PLUS_DEMAND,discrete_121,121,8003.820064,5590.092832,2413.727232,201.143936,50819.025743,True,5,5,66.0,60,180,1.0,False
FLAT_PLUS_DEMAND,discrete_126,126,7930.088855,5459.821637,2470.267218,205.855602,49634.742154,True,5,5,66.0,120,0,0.0,False
FLAT_PLUS_DEMAND,discrete_127,127,7932.00625,5465.639169,2466.367081,205.53059,49687.628808,True,5,5,66.0,120,60,0.0,False
FLAT_PLUS_DEMAND,discrete_128,128,7934.558475,5472.431006,2462.127469,205.177289,49749.372784,True,5,5,66.0,120,120,0.0,False
FLAT_PLUS_DEMAND,discrete_129,129,7937.110915,5479.525459,2457.585456,204.798788,49813.86781,True,5,5,66.0,120,180,0.0,False
FLAT_PLUS_DEMAND,discrete_130,130,8031.97724,5577.232453,2454.744787,204.562066,50702.113213,True,5,5,66.0,120,0,1.0,False
FLAT_PLUS_DEMAND,discrete_131,131,8034.440886,5582.576211,2451.864675,204.322056,50750.692831,True,5,5,66.0,120,60,1.0,False
FLAT_PLUS_DEMAND,discrete_132,132,8036.647565,5587.924428,2448.723136,204.060261,50799.312985,True,5,5,66.0,120,120,1.0,False
FLAT_PLUS_DEMAND,discrete_133,133,8038.306352,5592.950694,2445.355658,203.779638,50845.006313,True,5,5,66.0,120,180,1.0,False
FLAT_PLUS_DEMAND,discrete_138,138,7951.75449,5463.127556,2488.626934,207.385578,49664.795959,True,5,5,66.0,180,0,0.0,False
FLAT_PLUS_DEMAND,discrete_139,139,7953.569895,5468.838357,2484.731539,207.060962,49716.712336,True,5,5,66.0,180,60,0.0,False
FLAT_PLUS_DEMAND,discrete_140,140,7956.176876,5475.681105,2480.495771,206.707981,49778.919137,True,5,5,66.0,180,120,0.0,False
FLAT_PLUS_DEMAND,discrete_141,141,7958.738479,5482.780124,2475.958354,206.329863,49843.455676,True,5,5,66.0,180,180,0.0,False
FLAT_PLUS_DEMAND,discrete_142,142,8048.153352,5579.699114,2468.454238,205.70452,50724.537399,True,5,5,66.0,180,0,1.0,False
FLAT_PLUS_DEMAND,discrete_143,143,8050.612545,5585.036994,2465.575552,205.464629,50773.063578,True,5,5,66.0,180,60,1.0,False
FLAT_PLUS_DEMAND,discrete_144,144,8052.813765,5590.380601,2462.433164,205.202764,50821.641823,True,5,5,66.0,180,120,1.0,False
FLAT_PLUS_DEMAND,discrete_145,145,8054.469322,5595.40342,2459.065902,204.922158,50867.303817,True,5,5,66.0,180,180,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_0,0,7445.693624,5111.231177,2334.462447,194.538537,51584.631395,True,5,5,68.0,0,0,0.0,True
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_1,1,7779.508281,5353.231123,2426.277158,202.189763,53978.30604,True,5,5,70.0,0,0,0.0,True
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_2,2,7316.145602,4209.18606,3106.959541,258.913295,43072.414975,False,0,5,60.0,0,0,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_3,3,7304.51966,4211.40805,3093.11161,257.759301,43222.193327,False,0,5,60.0,0,60,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_4,4,7316.836552,4238.201465,3078.635088,256.552924,43369.489998,False,0,5,60.0,0,120,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_5,5,7334.875068,4272.161412,3062.713656,255.226138,43536.782025,False,0,5,60.0,0,180,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_6,6,7280.603603,4235.937224,3044.666379,253.722198,43301.190092,False,0,5,60.0,0,0,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_7,7,7268.969892,4237.0691,3031.900792,252.658399,43431.824247,False,0,5,60.0,0,60,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_8,8,7281.26946,4262.041318,3019.228142,251.602345,43569.928981,False,0,5,60.0,0,120,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_9,9,7297.793395,4292.410702,3005.382694,250.448558,43719.628715,False,0,5,60.0,0,180,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_10,10,7324.617948,4342.325963,2982.291986,248.524332,44316.622933,False,0,5,60.0,0,0,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_11,11,7314.609362,4343.379144,2971.230218,247.602518,44433.891238,False,0,5,60.0,0,60,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_12,12,7325.696697,4365.934078,2959.762618,246.646885,44559.029457,False,0,5,60.0,0,120,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_13,13,7340.742779,4393.643622,2947.099156,245.591596,44695.648457,False,0,5,60.0,0,180,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_14,14,7125.834336,4213.419902,2912.414434,242.701203,43140.88798,True,5,5,60.0,60,0,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_15,15,7113.487726,4214.558788,2898.928937,241.577411,43284.22299,True,5,5,60.0,60,60,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_16,16,7128.751743,4242.773043,2885.978699,240.498225,43442.734639,True,5,5,60.0,60,120,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_17,17,7147.945551,4276.638123,2871.307428,239.275619,43609.526792,True,5,5,60.0,60,180,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_18,18,7092.88386,4240.791689,2852.092172,237.674348,43374.918182,True,5,5,60.0,60,0,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_19,19,7081.493904,4241.535849,2839.958054,236.663171,43500.894098,True,5,5,60.0,60,60,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_20,20,7095.678489,4267.718033,2827.960456,235.663371,43646.495358,True,5,5,60.0,60,120,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_21,21,7111.310339,4296.651195,2814.659144,234.554929,43787.705769,True,5,5,60.0,60,180,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_22,22,7137.61185,4345.809329,2791.802521,232.65021,44372.636231,True,5,5,60.0,60,0,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_23,23,7127.41467,4346.164878,2781.249792,231.770816,44488.572694,True,5,5,60.0,60,60,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_24,24,7140.219608,4369.810042,2770.409566,230.867464,44620.45044,True,5,5,60.0,60,120,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_25,25,7155.812429,4397.324869,2758.48756,229.873963,44755.650296,True,5,5,60.0,60,180,1.0,False
