day,panel,arm,step,mean_heating_f,zone_spread_f,school_start,school_end,recovery_begin_step,post_occupancy_extension_minutes
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,77,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,78,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,79,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,80,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,81,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,82,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,83,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,84,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,85,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,86,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,87,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,88,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,89,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,90,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,91,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,92,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,93,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,94,60.27336666666667,12.0,30,59,18,0
2025-12-15,PRIMARY validation leader,trained_ppo_seed0,95,60.27336666666667,12.0,30,59,18,0
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,0,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,1,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,2,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,3,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,4,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,5,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,6,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,7,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,8,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,9,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,10,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,11,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,12,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,13,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,14,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,15,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,16,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,17,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,18,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,19,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,20,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,21,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,22,65.625,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,23,66.25,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,24,66.875,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,25,67.5,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,26,68.125,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,27,68.75,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,28,69.375,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,29,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,30,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,31,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,32,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,33,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,34,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,35,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,36,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,37,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,38,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,39,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,40,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,41,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,42,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,43,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,44,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,45,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,46,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,47,70.0,5.0,30,59,22,120
