date,n_intervals,oat_min_f,oat_max_f,facility_peak_kw,max_abs_dT_f,p99_9_abs_dT_f,n_morning_recovery,n_evening_setback,mean_zone_cross_std_f,gate_or_smoke_date,weekend,fold
2025-08-18,96,66.7,76.78333333333333,120.0,0.739393939393949,0.6899090909090926,1,1,1.0508219259863558,False,False,train_dev
2025-08-19,96,66.675,78.89166666666667,138.0,1.4000000000000057,1.1086666666666447,1,1,0.5962154360702152,False,False,train_dev
2025-08-20,96,63.333333333333336,75.64166666666667,135.99999666666668,1.3900000000000006,1.2772651515151394,1,1,0.519954518024877,False,False,train_dev
2025-08-21,96,60.26666666666666,75.4,128.0,0.8787878787878753,0.8641515151515157,1,1,0.5249909794971553,False,False,train_dev
2025-08-22,96,58.51666666666667,79.80000000000001,138.0,0.5,0.4942499999999966,1,1,0.512840005523238,False,False,train_dev
2025-08-23,96,58.166666666666664,73.83333333333333,46.0,0.39230769230768203,0.33156410256409874,0,0,1.0172655919579536,False,True,train_dev
2025-08-24,96,55.00833333333333,68.675,42.0,0.37000000000000455,0.33564743589743756,0,0,1.1145733865677288,False,True,train_dev
2025-08-25,96,51.15,67.39166666666667,108.0,0.7399999999999949,0.701318181818168,1,1,0.8198084740217063,False,False,train_dev
2025-08-26,96,50.29999999999999,71.26666666666667,112.0,1.1466666666666754,1.056583333333327,1,1,0.6889838093813047,False,False,train_dev
2025-08-27,96,48.833333333333336,73.35000000000001,94.0,0.6700000000000159,0.612325757575756,1,1,0.6547905583690364,False,False,train_dev
2025-08-28,96,57.5,74.35000000000001,124.0,0.5400000000000063,0.47866666666666663,1,1,0.7625168588135885,False,False,train_dev
2025-08-29,96,50.29999999999999,66.55,86.0,0.6454545454545411,0.5161130536130366,1,1,0.7220755439207904,False,False,train_dev
2025-08-30,96,56.23333333333333,72.3,24.0,0.20000000000000284,0.1930303030303035,0,0,0.8143043834249443,False,True,train_dev
2025-08-31,96,49.51666666666667,74.55,28.0,0.3515151515151729,0.3257272727272828,0,0,1.023927388235195,False,True,train_dev
2025-09-01,96,49.65,76.06666666666666,70.0,0.45666666666666345,0.4345378787878694,1,1,1.0117068877884452,False,False,train_dev
2025-09-02,96,50.541666666666664,77.5,136.0,0.5900000000000034,0.4999166666666632,1,1,0.8490318117095127,False,False,train_dev
2025-09-03,96,51.23333333333333,67.10000000000001,112.0,0.3333333333333286,0.3259615384615342,1,1,0.7353654949318941,False,False,train_dev
2025-09-04,96,43.11666666666667,63.59166666666667,98.0,0.24848484848484986,0.24360606060606604,1,1,0.6848970104218027,False,False,train_dev
2025-09-05,96,49.225,59.85833333333333,96.0,0.3499999999999943,0.34564393939393734,1,1,0.70022197504287,False,False,train_dev
2025-09-06,96,43.916666666666664,63.15,20.0,0.16060606060605664,0.15537878787878825,0,0,0.7998395378274624,False,True,train_dev
2025-09-07,96,43.86666666666667,63.64166666666667,20.0,0.318181818181813,0.29553030303029215,0,0,0.8672362574833752,False,True,train_dev
2025-09-08,96,40.2,71.28333333333333,94.0,0.37666666666667936,0.34791666666667054,1,1,0.7959422008555977,False,False,train_dev
2025-09-09,96,51.416666666666664,75.63333333333334,102.0,0.3300000000000125,0.32320454545455546,1,1,0.8582946925161985,False,False,train_dev
2025-09-10,96,54.199999999999996,74.85000000000001,114.0,0.4000000000000057,0.36314102564102546,1,1,0.775588947421039,False,False,train_dev
